funded_amnt,int_rate,installment,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
1000.0,0.1825,360.97,10.0,1.0,36.0,21.0,0.0,1.0
12000.0,0.2098999999999999,324.58,10.0,1.0,60.0,25.0,1.0,2.0
10000.0,0.1366,340.13,2.0,1.0,36.0,13.0,1.0,0.0
27200.0,0.2899,553.87,10.0,1.0,60.0,6.0,0.0,4.0
11400.0,0.2899,376.09,3.0,1.0,36.0,10.0,0.0,1.0
15000.0,0.1561,361.67,4.0,1.0,60.0,16.0,1.0,4.0
10800.0,0.2899,328.22,4.0,1.0,36.0,1.0,1.0,2.0
18000.0,0.2899,370.78,1.0,1.0,60.0,6.0,1.0,1.0
1000.0,0.2299,291.72,2.0,0.0,60.0,26.0,1.0,4.0
7000.0,0.2899,233.81,2.0,1.0,36.0,11.0,1.0,2.0
24975.0,0.2899,549.65,6.0,1.0,60.0,10.0,1.0,2.0
12000.0,0.2899,275.07,2.0,1.0,60.0,13.0,1.0,2.0
12000.0,0.1399,279.16,2.0,1.0,60.0,15.0,1.0,4.0
21000.0,0.2899,471.29,1.0,1.0,60.0,11.0,1.0,4.0
21000.0,0.2899,687.42,4.0,1.0,36.0,9.0,1.0,1.0
32000.0,0.2899,1005.43,10.0,1.0,36.0,6.0,1.0,0.0
21500.0,0.2899,482.51,1.0,1.0,60.0,11.0,1.0,1.0
15000.0,0.1399,348.95,3.0,0.0,60.0,14.0,1.0,2.0
20000.0,0.1333,677.07,5.0,1.0,36.0,15.0,1.0,4.0
27000.0,0.2899,586.92,6.0,1.0,60.0,9.0,1.0,1.0
28000.0,0.2899,863.54,2.0,1.0,36.0,4.0,0.0,3.0
11200.0,0.2899,373.56,2.0,0.0,36.0,11.0,0.0,3.0
1000.0,0.2899,587.92,1.0,1.0,60.0,7.0,1.0,4.0
35000.0,0.2899,790.82,2.0,1.0,60.0,12.0,1.0,1.0
4950.0,0.1999,183.94,11.0,1.0,36.0,24.0,1.0,2.0
14400.0,0.2899,480.98,2.0,1.0,36.0,11.0,1.0,3.0
10300.0,0.2899,320.35,1.0,1.0,36.0,4.0,0.0,4.0
22400.0,0.2899,686.44,1.0,1.0,36.0,2.0,1.0,0.0
24000.0,0.1559,578.42,1.0,1.0,60.0,16.0,1.0,0.0
21000.0,0.2899,639.15,1.0,1.0,36.0,1.0,1.0,4.0
20000.0,0.2899,411.98,1.0,1.0,60.0,6.0,1.0,2.0
9600.0,0.2899,309.72,7.0,1.0,36.0,8.0,1.0,2.0
15000.0,0.1785999999999999,379.76,1.0,1.0,60.0,20.0,1.0,0.0
7800.0,0.2899,260.53,1.0,1.0,36.0,11.0,1.0,2.0
20000.0,0.2899,640.57,0.0,1.0,36.0,7.0,1.0,2.0
14000.0,0.1599,340.38,1.0,1.0,60.0,17.0,1.0,1.0
28000.0,0.1559,978.74,1.0,0.0,36.0,16.0,1.0,4.0
30000.0,0.2899,667.19,1.0,1.0,60.0,10.0,1.0,1.0
7000.0,0.2899,242.63,1.0,1.0,36.0,15.0,1.0,3.0
25000.0,0.2899,766.12,1.0,1.0,36.0,2.0,1.0,2.0
12000.0,0.2899,377.09,1.0,1.0,36.0,5.0,1.0,2.0
12000.0,0.2899,377.09,1.0,1.0,36.0,5.0,0.0,2.0
1000.0,0.2899,265.68,1.0,0.0,36.0,10.0,0.0,2.0
8000.0,0.2899,251.4,0.0,1.0,36.0,5.0,1.0,2.0
15000.0,0.1366,346.39,1.0,1.0,60.0,13.0,1.0,2.0
11850.0,0.1714,423.32,1.0,1.0,36.0,19.0,1.0,2.0
15000.0,0.2899,314.96,1.0,1.0,60.0,7.0,1.0,3.0
1000.0,0.2899,735.47,1.0,1.0,36.0,2.0,1.0,1.0
32000.0,0.2899,1165.57,1.0,1.0,36.0,21.0,1.0,1.0
4700.0,0.2899,150.54,1.0,1.0,36.0,7.0,0.0,2.0
11200.0,0.1999,296.67,1.0,0.0,60.0,23.0,0.0,1.0
28000.0,0.2899,870.85,1.0,1.0,36.0,4.0,1.0,1.0
35000.0,0.2899,1088.56,1.0,1.0,36.0,5.0,1.0,2.0
5150.0,0.1649,182.31,1.0,1.0,36.0,18.0,1.0,2.0
25000.0,0.1559,1372.97,1.0,1.0,36.0,16.0,1.0,2.0
35000.0,0.2899,1088.56,1.0,1.0,36.0,4.0,1.0,4.0
7500.0,0.2899,252.67,1.0,1.0,36.0,12.0,0.0,2.0
15000.0,0.2899,456.54,1.0,1.0,60.0,1.0,0.0,1.0
35000.0,0.2899,1099.85,1.0,1.0,36.0,5.0,1.0,1.0
15000.0,0.2899,308.98,1.0,1.0,60.0,6.0,1.0,0.0
1000.0,0.2899,514.97,1.0,1.0,60.0,6.0,1.0,3.0
1000.0,0.2899,507.14,1.0,1.0,60.0,8.0,1.0,3.0
8000.0,0.2899,245.16,1.0,1.0,36.0,2.0,0.0,4.0
10000.0,0.2899,219.63,1.0,1.0,60.0,10.0,0.0,3.0
26850.0,0.2583,801.21,1.0,1.0,60.0,35.0,1.0,1.0
9600.0,0.2899,1372.97,1.0,1.0,36.0,12.0,0.0,1.0
12000.0,0.2899,289.21,1.0,1.0,60.0,16.0,1.0,1.0
32000.0,0.1431,749.74,0.0,1.0,60.0,14.0,1.0,4.0
32000.0,0.2899,995.26,1.0,1.0,60.0,4.0,1.0,3.0
24000.0,0.2899,735.47,1.0,1.0,36.0,2.0,1.0,1.0
25000.0,0.2899,830.24,1.0,1.0,36.0,10.0,1.0,4.0
18000.0,0.2899,370.78,1.0,1.0,60.0,6.0,1.0,2.0
35000.0,0.1599,1230.33,1.0,0.0,36.0,17.0,1.0,1.0
11550.0,0.1999,305.95,1.0,1.0,60.0,23.0,0.0,2.0
25000.0,0.2899,812.45,1.0,1.0,36.0,8.0,1.0,2.0
28000.0,0.1431,961.2,1.0,1.0,36.0,14.0,1.0,2.0
20000.0,0.2899,448.85,1.0,1.0,60.0,11.0,1.0,1.0
8000.0,0.2899,267.21,1.0,0.0,36.0,15.0,0.0,4.0
15000.0,0.1924,391.1,1.0,1.0,60.0,22.0,0.0,4.0
21300.0,0.2899,523.54,1.0,1.0,60.0,18.0,1.0,4.0
1000.0,0.2899,185.24,1.0,1.0,36.0,3.0,1.0,4.0
10000.0,0.2198999999999999,276.14,1.0,1.0,60.0,25.0,1.0,3.0
35000.0,0.1649,1238.98,1.0,0.0,36.0,18.0,1.0,4.0
18000.0,0.1431,1372.97,1.0,1.0,60.0,14.0,1.0,3.0
12000.0,0.1499,415.93,1.0,1.0,36.0,15.0,0.0,3.0
4800.0,0.1366,163.27,0.0,1.0,36.0,13.0,0.0,2.0
10000.0,0.2899,332.1,1.0,1.0,60.0,10.0,1.0,1.0
12000.0,0.1431,1372.97,1.0,1.0,36.0,14.0,0.0,2.0
8400.0,0.2899,288.36,1.0,1.0,36.0,14.0,0.0,1.0
24000.0,0.2899,509.82,6.0,1.0,60.0,8.0,0.0,4.0
11200.0,0.2899,240.68,1.0,1.0,60.0,8.0,1.0,4.0
